Organization Group,Job,Total Compensation
"Public Works, Transportation & Commerce",Transit Supervisor,133005.32
"Public Works, Transportation & Commerce","Stdntdsgntrain1, Arch/Eng/Plng",27024.07
Culture & Recreation,Library Page,56941.08
"Public Works, Transportation & Commerce",Parking Control Officer,32602.93
Human Welfare & Neighborhood Development,Protective Services Supervisor,89771.78
Community Health,Nursing Assistant,110946.4
Community Health,Porter,90984.32
"Public Works, Transportation & Commerce",Transit Planner 2,118232.25
Community Health,Clerk,83653.12
Community Health,Health Worker 2,92029.69
"Public Works, Transportation & Commerce",Transit Operator,42957.57
"Public Works, Transportation & Commerce",Transit Operator,32955.19
"Public Works, Transportation & Commerce",Survey Associate,138213.45
General Administration & Finance,Pr Administrative Analyst,121111.01
Community Health,Health Worker 2,94720.77
Public Protection,Chief Atty1 (Civil & Criminal),290710.33
Public Protection,Sheriff's Cadet,54946.99
Culture & Recreation,Custodial Assistant Supervisor,100910.69
Culture & Recreation,Park Section Supervisor,118663.42
Public Protection,Police Officer 3,160692.61
Public Protection,"Insp, Fire Dept",21261.65
Community Health,Psychiatric Social Worker,135205.04
Public Protection,Police Officer 3,140774.41
Public Protection,Court Interpreter,110720.3
Public Protection,Police Officer 3,46591.85
"Public Works, Transportation & Commerce",Senior Personnel Analyst,149762.87
Public Protection,Inspector 3,207934.28
"Public Works, Transportation & Commerce",Parking Control Officer,65346.03
Community Health,Porter,30325.35
"Public Works, Transportation & Commerce",Painter,17034.34
Community Health,Diagnostic Imaging Tech II,161132.01
General Administration & Finance,Contract Compliance Officer 1,139480.6
Community Health,Patient Care Assistant,92745.5
"Public Works, Transportation & Commerce",Supv Biologist,171145.77
Public Protection,"Sr Investigator, OCC",144581.84
"Public Works, Transportation & Commerce",Sr Power Generation Tech,179743.83
Community Health,Industrial Hygienist,148311.78
"Public Works, Transportation & Commerce",Permit Technician I,45400.44
Community Health,Food Service Worker,16575.39
General Administration & Finance,Planner 3,33246.34
Public Protection,Attorney (Civil/Criminal),251180.83
"Public Works, Transportation & Commerce",Sr Payroll & Personnel Clerk,110391.29
"Public Works, Transportation & Commerce",Sewer Service Worker,57491.85
"Public Works, Transportation & Commerce",School Crossing Guard,12241.62
"Public Works, Transportation & Commerce",Utility Plumber Supervisor 1,176859.96
Public Protection,"Captain, Fire Suppression",269775.32
Public Protection,EMT/Paramedic/Firefighter,151961.1
Public Protection,Deputy Court Clerk I,26945.19
Public Protection,Deputy Court Clerk III,32881.34
Community Health,Porter,101709.22
Community Health,Porter,94182.48
"Public Works, Transportation & Commerce",Transit Operator,38946.92
General Administration & Finance,Manager II,134360.99
Public Protection,Police Officer 3,184658.69
"Public Works, Transportation & Commerce",Painter,119844.47
Public Protection,EMT/Paramedic/Firefighter,179372.02
"Public Works, Transportation & Commerce",Pr Administrative Analyst,138804.63
Community Health,IS Business Analyst-Senior,155996.75
Public Protection,Police Officer 3,221010.85
Community Health,Nurse Practitioner,156165.99
Public Protection,Deputy Court Clerk III,85673.52
Public Protection,Deputy Sheriff,148050.45
"Public Works, Transportation & Commerce",Public Relations Assistant,39150.28
Community Health,Psychiatric Technician,31668.66
Community Health,IS Business Analyst-Senior,156446.3
"Public Works, Transportation & Commerce",Senior Water Services Clerk,84544.53
"Public Works, Transportation & Commerce",Senior Parking Control Officer,19898.56
Culture & Recreation,Library Technical Assistant 2,114406.63
"Public Works, Transportation & Commerce",Pr Administrative Analyst,163662.15
Culture & Recreation,Swimming Instructor,19751.81
Community Health,Psychiatric Technician,92505.47
Community Health,Diagnostic Imaging Tech II,165580.63
Public Protection,Deputy Sheriff,157023.49
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,17574.08
Community Health,Special Nurse,34347.97
"Public Works, Transportation & Commerce",Painter,117963.2
Human Welfare & Neighborhood Development,Senior Eligibility Worker,133674.3
Community Health,Dietitian,24971.34
Culture & Recreation,Museum Guard,15306.8
Community Health,Health Worker 2,94279.5
Human Welfare & Neighborhood Development,Senior Clerk Typist,93013.26
Community Health,Special Nurse,55621.92
Community Health,Porter,66270.34
"Public Works, Transportation & Commerce",Transit Operator,134905.98
"Public Works, Transportation & Commerce",Asst Engr,56886.57
"Public Works, Transportation & Commerce",Transit Operator,127206.57
"Public Works, Transportation & Commerce",Transit Operator,115822.29
Public Protection,Police Officer 2,124483.84
Public Protection,Police Cadet,24424.71
"Public Works, Transportation & Commerce","Sr Statnry Eng, Wtr Treat Plnt",166196.72
"Public Works, Transportation & Commerce",Custodian,92160.52
General Administration & Finance,Management Assistant,104139.63
Culture & Recreation,Gardener,122090.78
Community Health,Registered Nurse,182219.98
"Public Works, Transportation & Commerce",Electrical Transit System Mech,109764.32
Public Protection,Firefighter,212415.13
Community Health,Special Nurse,10409.75
"Public Works, Transportation & Commerce",Senior Clerk Typist,92537.34
Public Protection,Police Officer 2,55199.24
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,17264.52
"Public Works, Transportation & Commerce",Carpenter,123533.29
Public Protection,EMT/Paramedic/Firefighter,249856.07
Community Health,Registered Nurse,132536.14
Community Health,Bldg & Grounds Maint Sprv,105913.7
"Public Works, Transportation & Commerce",Asphalt Worker,17092.01
Community Health,Medical Evaluations Assistant,90716.94
Community Health,Special Nurse,27144.62
Human Welfare & Neighborhood Development,Program Specialist,122346.89
Community Health,Patient Care Assistant,101677.35
"Public Works, Transportation & Commerce",Parking Control Officer,120606.77
Culture & Recreation,Librarian 2,133987.37
Community Health,Health Program Coordinator 3,128725.12
Human Welfare & Neighborhood Development,Senior Eligibility Worker,74802.65
Public Protection,Police Officer,149430.1
Community Health,Patient Care Assistant,33313.38
Public Protection,"Asst Dir, Log Cabin Rnch",145666.11
Community Health,Registered Nurse,205490.28
Human Welfare & Neighborhood Development,Senior Eligibility Worker,100868.65
Community Health,Registered Nurse,174327.48
"Public Works, Transportation & Commerce",Transit Operator,42647.29
Human Welfare & Neighborhood Development,Social Work Specialist,12485.37
Community Health,Porter,77434.5
"Public Works, Transportation & Commerce",Maintenance Planner,157557.68
"Public Works, Transportation & Commerce",Transit Operator,17426.74
"Public Works, Transportation & Commerce",Clerk Typist,40626.77
"Public Works, Transportation & Commerce",Automotive Mechanic,104961.23
Community Health,Dentist,65343.45
"Public Works, Transportation & Commerce",Pile Worker,138941.11
Community Health,Home Health Aide,16488.2
Community Health,Senior Telephone Operator,92780.58
Community Health,Clinical Pharmacist,212753.2
"Public Works, Transportation & Commerce",Electronic Maintenance Tech,162274.16
Community Health,Nursing Assistant,52931.14
"Public Works, Transportation & Commerce",Accountant IV,161139.83
Community Health,Physician Specialist,68419.09
Community Health,Registered Nurse,176090.71
"Public Works, Transportation & Commerce",Pr Administrative Analyst,163989.24
Public Protection,Police Officer,123385.13
"Public Works, Transportation & Commerce","Sprv, Traffic & Street Signs",132187.96
Community Health,Porter,76288.92
Public Protection,Community Police Services Aide,108893.03
"Public Works, Transportation & Commerce",Electrical Transit System Mech,145943.08
Community Health,"Marriage, Family & Child Cnslr",127711.26
"Public Works, Transportation & Commerce",Junior Administrative Analyst,60047.46
Community Health,Senior Administrative Analyst,146881.64
"Public Works, Transportation & Commerce",Custodian,87060.87
"Public Works, Transportation & Commerce",Engineer/Architect Principal,237346.05
Community Health,Special Nurse,167705.83
Community Health,Hospital Eligiblity Worker,111898.14
"Public Works, Transportation & Commerce",Parking Control Officer,12352.6
"Public Works, Transportation & Commerce",Dep Dir V,16893.74
Public Protection,Sergeant 3,257892.53
"Public Works, Transportation & Commerce",General Laborer,126436.63
"Public Works, Transportation & Commerce",Transit Operator,65671.15
"Public Works, Transportation & Commerce",Automotive Body & Fender Wrk,156069.8
"Public Works, Transportation & Commerce",IS Business Analyst-Senior,134188.34
Public Protection,Sergeant 3,58605.56
"Public Works, Transportation & Commerce",Senior Clerk,50684.06
Public Protection,Sergeant 3,229886.27
Community Health,"Inspector, Weights & Measures",94886.56
General Administration & Finance,Custodian,96448.67
Community Health,Health Worker 3,98975.54
Public Protection,Deputy Court Clerk III,123218.07
Public Protection,Police Officer 3,206775.98
"Public Works, Transportation & Commerce",Utility Plumber,86130.46
"Public Works, Transportation & Commerce",Project Manager 2,198776.89
Public Protection,Police Officer 3,168516.95
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,24927.76
Human Welfare & Neighborhood Development,Protective Services Supervisor,172320.82
"Public Works, Transportation & Commerce",Electrical Transit System Mech,177162.26
"Public Works, Transportation & Commerce",Senior Const Inspector,82341.77
Community Health,IS Business Analyst-Principal,203572.79
Community Health,Registered Nurse,210644.97
Human Welfare & Neighborhood Development,Estate Investigator,117354.26
Public Protection,Sheriff's Sergeant,263779.89
Community Health,Special Nurse,48273.64
Public Protection,Sheriff's Lieutenant,307274.65
Public Protection,Police Officer 2,187590.62
Community Health,Nursing Supervisor,64699.73
Public Protection,EMT/Paramedic/Firefighter,160998.27
Community Health,Patient Care Assistant,87076.66
Public Protection,Firefighter,178026.19
Public Protection,Sergeant 3,209378.23
"Public Works, Transportation & Commerce",Transit Operator,129111.83
"Public Works, Transportation & Commerce",Electronic Maintenance Tech,158359.82
Public Protection,Dist Atty Investigator (SFERS),144295.8
General Administration & Finance,Planner 3-Environmental Review,149121.56
Community Health,Medical Records Clerk,95512.95
"Public Works, Transportation & Commerce",Transit Operator,12598.05
General Administration & Finance,Clerk,33956.48
"Public Works, Transportation & Commerce",Senior Clerk,47852.76
"Public Works, Transportation & Commerce",Architectural Associate 1,77818.08
Public Protection,Police Officer,83770.41
Public Protection,Lieutenant 3,231013.52
General Administration & Finance,Mayoral Staff XIV,170270.64
Human Welfare & Neighborhood Development,Emp & Training Spec 2,24878.82
Public Protection,Manager II,23794.84
General Administration & Finance,Asst Forensic Toxicologist 1,156076.58
"Public Works, Transportation & Commerce",Commercial Div Asst Sprv,144485.69
"Public Works, Transportation & Commerce",Transit Supervisor,40300.96
"Public Works, Transportation & Commerce",Landscape Architect Assoc 2,107072.01
"Public Works, Transportation & Commerce",Transit Operator,138345.83
Public Protection,"Research Asst, Superior Court",86998.76
Public Protection,Firefighter,188706.67
"Public Works, Transportation & Commerce",Prnpl Admin Analyst II,137905.98
"Public Works, Transportation & Commerce",Truck Driver,121643.04
Community Health,PS Aide Health Services,50098.85
Public Protection,Police Officer,159275.64
Public Protection,EMT/Paramedic/Firefighter,141235.66
Community Health,Registered Nurse,162819.18
"Public Works, Transportation & Commerce",Construction Inspector,170451.13
Community Health,Registered Nurse,181449.67
"Public Works, Transportation & Commerce",Painter,124909.54
Culture & Recreation,Custodian,72141.52
Human Welfare & Neighborhood Development,Protective Services Supervisor,153463.67
General Administration & Finance,Planner 3,52398.68
"Public Works, Transportation & Commerce",Asst Engr,70153.94
"Public Works, Transportation & Commerce",Custodian,94624.15
Human Welfare & Neighborhood Development,Senior Eligibility Worker,104543.87
"Public Works, Transportation & Commerce",Maintenance Scheduler,112472.04
Human Welfare & Neighborhood Development,Clerk,71772.75
"Public Works, Transportation & Commerce",PS Aide To Prof,32040.14
Public Protection,Police Officer 3,192210.07
Community Health,Registered Nurse,200615.36
"Public Works, Transportation & Commerce",Transit Operator,148735.2
"Public Works, Transportation & Commerce",Transit Operator,116766.69
Public Protection,Court Supervisor II,178680.45
Public Protection,Deputy Sheriff,215039.58
Community Health,Registered Nurse,183254.09
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,30551.56
"Public Works, Transportation & Commerce",Transit Operator,46111.91
Community Health,Special Nurse,104883.41
Human Welfare & Neighborhood Development,HSA Social Worker,90209.01
Human Welfare & Neighborhood Development,Public Service Trainee,17907.41
"Public Works, Transportation & Commerce",Transit Operator,78006.36
"Public Works, Transportation & Commerce",Painter,138265.52
Human Welfare & Neighborhood Development,Clerk,77038.26
General Administration & Finance,Planner Technician,42054.59
"Public Works, Transportation & Commerce",Carpenter,15883.43
Public Protection,"Head Atty, Civil & Criminal",268290.93
General Administration & Finance,Custodian,110932.41
"Public Works, Transportation & Commerce",Transit Operator,77543.31
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,10759.1
Community Health,Porter,89520.85
"Public Works, Transportation & Commerce",Water & Power Maint Sprv 1,158309.29
Public Protection,Police Officer 2,161209.62
Public Protection,Police Officer,80113.02
"Public Works, Transportation & Commerce","Stdntdsgntrain1, Arch/Eng/Plng",14654.81
"Public Works, Transportation & Commerce",Transit Operator,106196.84
Community Health,Registered Nurse,114716.06
Public Protection,Deputy Court Clerk II,112417.71
Community Health,Registered Nurse,238622.89
Culture & Recreation,Stationary Engineer,74059.89
Community Health,Manager III,209910.19
"Public Works, Transportation & Commerce",Transit Operator,91389.58
"Public Works, Transportation & Commerce",Transit Operator,109968.33
Human Welfare & Neighborhood Development,HSA Social Worker,71691.44
Community Health,Medical Social Worker,132246.27
"Public Works, Transportation & Commerce",Executive Secretary 1,21417.31
"Public Works, Transportation & Commerce","Station Agent, Muni Railway",104115.34
Community Health,Senior Administrative Analyst,143834.15
"Public Works, Transportation & Commerce",Asst Engr,141967.38
"Public Works, Transportation & Commerce",Custodian,87049.98
Public Protection,Police Officer,122390.73
Culture & Recreation,Librarian 1,24853.06
"Public Works, Transportation & Commerce",Administrative Analyst,104443.66
"Public Works, Transportation & Commerce",Transit Operator,120616.38
"Public Works, Transportation & Commerce",Permit Technician I,11387.85
Community Health,Registered Nurse,169718.5
Public Protection,Firefighter,184978.28
Community Health,Licensed Vocational Nurse,143709.87
Community Health,Unit Clerk,81331.34
Culture & Recreation,Museum Guard,36185.53
"Public Works, Transportation & Commerce",Custodian,90467.84
"Public Works, Transportation & Commerce",Stdntdsgn Train2/Arch/Eng/Plng,14560.25
Public Protection,Police Officer,44164.33
Public Protection,Police Officer 2,18440.07
Culture & Recreation,Library Page,45231.96
Human Welfare & Neighborhood Development,Protective Services Worker,116035.3
Community Health,Patient Care Assistant,67123.39
Community Health,Psychiatric Social Worker,79898.69
"Public Works, Transportation & Commerce",Transit Operator,113984.19
"Public Works, Transportation & Commerce",Materials Testing Technician,110789.35
"Public Works, Transportation & Commerce",Transit Operator,130991.64
Culture & Recreation,Manager I,178364.07
Community Health,Nurse Practitioner,259751.18
Public Protection,Police Officer 2,208040.92
Culture & Recreation,Plumber,144501.82
"Public Works, Transportation & Commerce",Transit Operator,100464.0
Public Protection,Deputy Sheriff,183101.61
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,14448.2
"Public Works, Transportation & Commerce",IS Project Director,13717.15
Community Health,Public Service Trainee,61313.52
General Administration & Finance,Asr-Office Assistant,88120.79
"Public Works, Transportation & Commerce",Storekeeper,85956.73
"Public Works, Transportation & Commerce","Stdntdsgntrain1, Arch/Eng/Plng",13861.3
"Public Works, Transportation & Commerce",Building Plans Engineer,202134.69
"Public Works, Transportation & Commerce",Ornamental Iron Worker,53732.02
Culture & Recreation,Librarian 1,79829.13
Culture & Recreation,Gardener,103828.05
"Public Works, Transportation & Commerce",PS Aide To Prof,33027.84
Public Protection,"Captain, Fire Suppression",275595.49
Public Protection,Clerk Typist,85959.03
"Public Works, Transportation & Commerce",Power Generation Technician 1,108778.02
Community Health,Senior Food Service Worker,88418.82
Community Health,Licensed Vocational Nurse,116586.83
Public Protection,Firefighter,161760.87
"Public Works, Transportation & Commerce",Cement Mason,111644.88
Public Protection,"Lieutenant, Fire Suppression",73129.05
Community Health,Physical Therapist,113257.21
Community Health,Porter,92171.65
Public Protection,Firefighter,150561.21
"Public Works, Transportation & Commerce",Transit Operator,116586.67
Public Protection,Senior Storekeeper,63224.23
Public Protection,Attorney (Civil/Criminal),114850.73
"Public Works, Transportation & Commerce",Sheet Metal Worker,174907.04
Community Health,Medical Social Worker,130321.34
Public Protection,EMT/Paramedic/Firefighter,182369.76
"Public Works, Transportation & Commerce",Contract Compliance Officer 2,178321.47
Human Welfare & Neighborhood Development,Employment & Training Spec 3,92982.75
"Public Works, Transportation & Commerce",Transit Operator,31307.11
"Public Works, Transportation & Commerce",Asst Engr,93708.02
"Public Works, Transportation & Commerce",Transit Operator,134084.46
"Public Works, Transportation & Commerce",Cement Mason,99416.28
General Administration & Finance,IS Business Analyst-Senior,156315.48
"Public Works, Transportation & Commerce",Parking Control Officer,35364.75
"Public Works, Transportation & Commerce",Transit Operator,114216.01
"Public Works, Transportation & Commerce",Painter,101974.45
Human Welfare & Neighborhood Development,Senior Eligibility Worker,94818.47
"Public Works, Transportation & Commerce",Transit Supervisor,166782.29
"Public Works, Transportation & Commerce",Custodian,93451.42
Community Health,Health Care Billing Clerk 2,82341.85
Public Protection,Sergeant 3,197801.92
Human Welfare & Neighborhood Development,Clerk,75724.24
"Public Works, Transportation & Commerce",Senior Management Assistant,37283.95
General Administration & Finance,Administrative Analyst,35175.77
Community Health,Nurse Practitioner,259980.98
General Administration & Finance,Customer Service Agent,44134.53
Community Health,Licensed Vocational Nurse,73312.87
Community Health,Physical Therapist,151626.43
"Public Works, Transportation & Commerce",IS Engineer-Principal,54402.15
"Public Works, Transportation & Commerce",Secretary 2,29117.04
"Public Works, Transportation & Commerce",Transit Operator,116592.35
"Public Works, Transportation & Commerce",Transit Operator,122689.39
Community Health,Health Care Analyst,85225.13
"Public Works, Transportation & Commerce",Transit Operator,77655.88
General Administration & Finance,Pr Administrative Analyst,15285.37
"Public Works, Transportation & Commerce",Senior Clerk Typist,83899.64
"Public Works, Transportation & Commerce",Carpenter,141581.82
"Public Works, Transportation & Commerce",Construction Inspector,34466.5
Community Health,Special Nurse,36636.11
"Public Works, Transportation & Commerce",School Crossing Guard,12679.98
"Public Works, Transportation & Commerce",General Laborer,28090.76
"Public Works, Transportation & Commerce",Senior Personnel Clerk,100929.99
Community Health,Public Health Nurse,185090.08
Community Health,Nurse Practitioner,255487.49
Human Welfare & Neighborhood Development,Protective Services Worker,155852.42
Human Welfare & Neighborhood Development,Senior Administrative Analyst,143293.83
General Administration & Finance,Asst Med Examiner,427219.28
"Public Works, Transportation & Commerce",Heavy Equipment Ops Sprv,153048.87
"Public Works, Transportation & Commerce",Lighting Fixture Maint Worker,95220.74
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,17351.2
Public Protection,Sergeant 2,153687.01
Public Protection,Police Officer 3,190129.8
Community Health,Registered Nurse,186673.15
Community Health,Patient Care Assistant,81370.78
"Public Works, Transportation & Commerce",Accountant IV,165454.29
Community Health,Porter,91012.48
Community Health,Registered Nurse,192040.99
"Public Works, Transportation & Commerce",Transit Operator,130019.09
"Public Works, Transportation & Commerce",Senior Clerk,67536.52
Public Protection,Police Officer 3,208472.32
"Public Works, Transportation & Commerce",Watershed Worker (Seasonal),13516.06
General Administration & Finance,Planner 3-Environmental Review,11025.74
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,23399.59
"Public Works, Transportation & Commerce",Senior Clerk,85563.91
"Public Works, Transportation & Commerce","Stdntdsgntrain1, Arch/Eng/Plng",26546.11
Public Protection,Personnel Technician,106274.04
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,17181.26
"Public Works, Transportation & Commerce",Airport Property Specialist 1,148565.58
"Public Works, Transportation & Commerce",Engineering Associate 1,127404.65
Community Health,Psychiatric Social Worker,120297.56
Culture & Recreation,Custodian,28653.97
"Public Works, Transportation & Commerce",Wastewater Control Inspector,10105.04
"Public Works, Transportation & Commerce",Automotive Trnst Shop Sprv 1,36415.6
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,29030.07
Public Protection,Deputy Sheriff,154022.85
Community Health,Nurse Practitioner,160871.45
Culture & Recreation,Museum Guard,94898.86
Culture & Recreation,Recreation Leader,22632.82
Community Health,Patient Care Assistant,15836.72
Culture & Recreation,Museum Guard,16419.94
"Public Works, Transportation & Commerce",Assoc Engineer,110228.27
Culture & Recreation,Gardener,92424.1
"Public Works, Transportation & Commerce",Transit Operator,141832.46
Public Protection,Police Officer,154331.95
General Administration & Finance,Senior Real Property Appraiser,45148.72
"Public Works, Transportation & Commerce",Architectural Assistant 2,38778.49
"Public Works, Transportation & Commerce",Automotive Mechanic,121574.65
Human Welfare & Neighborhood Development,Public Service Trainee,12168.93
"Public Works, Transportation & Commerce",General Laborer,116761.0
"Public Works, Transportation & Commerce",Lighting Fixture Maint Worker,90534.33
Human Welfare & Neighborhood Development,Environmental Spec,72754.1
Culture & Recreation,Volunteer/Outreach Coord,99990.48
Human Welfare & Neighborhood Development,IT Operations Support Admin IV,51981.99
Community Health,Senior Unit Clerk,103051.53
"Public Works, Transportation & Commerce",Auto Machinist Asst Sprv,151804.88
"Public Works, Transportation & Commerce",Automotive Mechanic,129249.49
General Administration & Finance,Customer Service Agent Trainee,27788.01
"Public Works, Transportation & Commerce",Custodian,87080.0
"Public Works, Transportation & Commerce",Track Maintenance Worker,133182.24
"Public Works, Transportation & Commerce",Crane Mechanic Supervisor,192397.07
Human Welfare & Neighborhood Development,Account Clerk,65413.09
Human Welfare & Neighborhood Development,Senior Eligibility Worker,95731.24
"Public Works, Transportation & Commerce",PS Aide To Prof,14062.22
Human Welfare & Neighborhood Development,Emp & Training Spec 2,25932.74
Community Health,Porter,64577.06
General Administration & Finance,IS Engineer-Journey,183146.32
Public Protection,Deputy Court Clerk II,111615.66
"Public Works, Transportation & Commerce",Senior Account Clerk,29460.67
"Public Works, Transportation & Commerce",General Laborer,133740.97
Community Health,Registered Nurse,147776.03
Community Health,Patient Care Assistant,126893.41
"Public Works, Transportation & Commerce",Transit Planner 2,109211.58
Culture & Recreation,Senior Management Assistant,130392.29
"Public Works, Transportation & Commerce",Engineer/Architect Principal,121411.93
General Administration & Finance,Assessor-Recorder Office Spec,82258.78
General Administration & Finance,City Planning Intern,31442.16
Community Health,IS Business Analyst-Principal,127224.71
"Public Works, Transportation & Commerce",Survey Assistant I,33512.44
Public Protection,EMT/Paramedic/Firefighter,138178.17
General Administration & Finance,Attorney (Civil/Criminal),183124.88
Culture & Recreation,Library Page,32342.25
"Public Works, Transportation & Commerce","Stdntdsgntrain3, Arch/Eng/Plng",33320.16
"Public Works, Transportation & Commerce","Stdntdsgntrain1, Arch/Eng/Plng",22515.5
Human Welfare & Neighborhood Development,Public Service Trainee,12986.59
"Public Works, Transportation & Commerce",Transit Planner III,146942.34
Human Welfare & Neighborhood Development,Senior Eligibility Worker,97405.84
Community Health,Patient Svcs Finance Tech,93133.93
Public Protection,Community Police Services Aide,103686.1
Public Protection,Police Officer 3,225130.74
"Public Works, Transportation & Commerce",Transit Power Line Worker,82166.07
"Public Works, Transportation & Commerce",Community Development Spec,108829.36
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,13762.23
Community Health,Nutritionist,137527.5
Community Health,Medical Evaluations Assistant,20889.45
General Administration & Finance,Assistant Retirement Analyst,117567.32
Community Health,Hospital Eligiblity Worker,113429.46
General Administration & Finance,Principal Clerk,101515.34
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,27938.62
"Public Works, Transportation & Commerce",Housekeeper/Food Service Clnr,80082.24
Public Protection,Lieutenant 3,261718.31
General Administration & Finance,Attorney (Civil/Criminal),29874.27
"Public Works, Transportation & Commerce",Sewer Service Worker,135289.92
Human Welfare & Neighborhood Development,IS Business Analyst,137185.03
General Administration & Finance,Senior Administrative Analyst,143771.85
"Public Works, Transportation & Commerce",Custodian,82798.81
Community Health,Senior Personnel Analyst,142369.55
Community Health,Psychiatric Technician,22686.59
Culture & Recreation,Recreation Leader,14314.91
"Public Works, Transportation & Commerce",Senior Clerk Typist,92851.0
"Public Works, Transportation & Commerce",Airport Security ID Technician,42665.75
"Public Works, Transportation & Commerce",Transit Power Line Worker,177819.04
Community Health,Registered Nurse,196008.02
Community Health,Pharmacy Technician,57069.91
Public Protection,Legal Assistant,102312.32
Community Health,Registered Nurse,116754.39
Public Protection,Police Officer 3,183004.24
Community Health,Registered Nurse,175069.46
Public Protection,Police Officer 3,178529.36
Culture & Recreation,Carpenter,127361.92
Community Health,"Marriage, Family & Child Cnslr",109208.41
Public Protection,Court Administrator,88585.63
"Public Works, Transportation & Commerce",Engineer,185134.06
